iter	Passed	Remaining
0	1	183
1	4	208
2	6	201
3	8	192
4	10	195
5	12	193
6	14	194
7	16	195
8	19	196
9	21	196
10	24	194
11	26	195
12	28	193
13	31	190
14	33	188
15	36	189
16	38	189
17	41	187
18	43	184
19	45	181
20	47	178
21	49	176
22	51	173
23	54	171
24	56	169
25	59	168
26	61	166
27	63	164
28	66	162
29	68	159
30	70	157
31	72	154
32	74	151
33	76	149
34	78	146
35	80	143
36	82	140
37	84	138
38	86	135
39	88	133
40	90	130
41	91	126
42	93	123
43	95	120
44	96	118
45	98	115
46	100	112
47	101	110
48	103	107
49	104	104
50	106	102
51	107	99
52	108	96
53	110	93
54	111	90
55	112	88
56	113	85
57	115	83
58	116	80
59	117	78
60	119	76
61	120	73
62	121	71
63	123	69
64	124	67
65	126	64
66	127	62
67	128	60
68	130	58
69	131	56
70	132	54
71	134	52
72	135	50
73	136	47
74	137	45
75	138	43
76	140	41
77	141	39
78	142	37
79	143	35
80	145	34
81	146	32
82	147	30
83	149	28
84	150	26
85	151	24
86	152	22
87	154	21
88	155	19
89	157	17
90	159	15
91	160	13
92	162	12
93	163	10
94	165	8
95	166	6
96	168	5
97	170	3
98	171	1
99	173	0
