iter	Passed	Remaining
0	149	149320
1	151	75604
2	154	51297
3	157	39249
4	160	32015
5	165	27359
6	168	23919
7	172	21355
8	175	19296
9	178	17674
10	182	16380
11	184	15203
12	188	14329
13	192	13526
14	195	12836
15	198	12215
16	201	11626
17	204	11135
18	207	10697
19	210	10311
20	213	9930
21	216	9608
22	219	9303
23	221	9012
24	224	8769
25	227	8528
26	230	8318
27	233	8116
28	237	7935
29	240	7770
30	243	7601
31	246	7448
32	249	7300
33	252	7161
34	254	7026
35	257	6896
36	260	6770
37	262	6639
38	264	6528
39	267	6431
40	270	6322
41	272	6212
42	274	6113
43	277	6026
44	279	5928
45	281	5831
46	283	5743
47	284	5651
48	286	5563
49	288	5482
50	290	5410
51	292	5335
52	294	5263
53	296	5200
54	298	5134
55	300	5066
56	302	5005
57	305	4958
58	307	4908
59	310	4866
60	312	4815
61	315	4774
62	317	4721
63	319	4679
64	322	4633
65	324	4587
66	326	4540
67	328	4497
68	330	4455
69	332	4414
70	334	4374
71	336	4335
72	338	4293
73	340	4256
74	342	4220
75	344	4182
76	345	4143
77	348	4115
78	350	4085
79	352	4050
80	353	4013
81	355	3979
82	356	3935
83	357	3902
84	359	3868
85	361	3838
86	363	3812
87	364	3781
88	366	3751
89	367	3720
90	369	3687
91	370	3654
92	371	3623
93	373	3595
94	374	3564
95	375	3532
96	376	3502
97	377	3476
98	379	3452
99	381	3430
100	382	3405
101	383	3380
102	385	3354
103	386	3331
104	387	3306
105	389	3282
106	390	3258
107	391	3234
108	392	3211
109	394	3189
110	395	3167
111	396	3143
112	397	3120
113	398	3098
114	400	3078
115	401	3056
116	401	3033
117	402	3011
118	403	2989
119	405	2970
120	406	2951
121	407	2932
122	408	2913
123	409	2894
124	410	2875
125	411	2857
126	412	2838
127	414	2820
128	415	2802
129	416	2784
130	417	2766
131	417	2748
132	419	2733
133	420	2716
134	421	2699
135	422	2684
136	423	2669
137	425	2655
138	426	2640
139	427	2623
140	427	2607
141	428	2589
142	429	2576
143	431	2564
144	432	2550
145	433	2537
146	434	2523
147	435	2509
148	436	2495
149	438	2482
150	439	2470
151	440	2457
152	441	2444
153	442	2430
154	443	2417
155	444	2405
156	445	2392
157	446	2379
158	447	2368
159	448	2355
160	449	2340
161	450	2331
162	452	2322
163	453	2312
164	455	2303
165	456	2294
166	457	2283
167	459	2274
168	460	2265
169	462	2257
170	464	2252
171	465	2242
172	467	2236
173	470	2233
174	472	2227
175	474	2220
176	476	2213
177	477	2206
178	479	2198
179	481	2191
180	483	2186
181	484	2178
182	486	2170
183	487	2163
184	489	2157
185	491	2151
186	493	2143
187	494	2135
188	496	2130
189	498	2123
190	499	2116
